Num :  41, Time :   1, Before : 10, After : 15
Num :  87, Time :   1, Before : 10, After :  5
Num :  32, Time :   1, Before : 12, After : 13
Num :  37, Time :   1, Before : 12, After : 15
Num :  83, Time :   1, Before : 12, After :  1
Num :  13, Time :   1, Before :  9, After :  6
Num :  38, Time :   1, Before :  9, After :  8
Num :  86, Time :   1, Before :  9, After :  8
Num :  42, Time :   1, Before :  4, After : 19
Num :  70, Time :   1, Before :  4, After : 19
Num :   6, Time :   1, Before :  7, After : 13
Num :  61, Time :   1, Before :  7, After :  9
Num :   8, Time :   1, Before : 15, After :  3
Num :  79, Time :   1, Before : 15, After : 18
Num :  24, Time :   1, Before : 16, After :  4
Num :  69, Time :   1, Before : 19, After :  8
Num :   5, Time :   1, Before : 17, After :  2
Num :  33, Time :   1, Before : 17, After :  1
Num :  40, Time :   1, Before : 17, After :  2
Num :  58, Time :   1, Before : 17, After : 12
Num :  88, Time :   1, Before : 17, After :  2
Num :  23, Time :   1, Before :  2, After : 18
Num :  60, Time :   1, Before :  2, After : 18
Num :  73, Time :   1, Before :  2, After : 18
Num :  96, Time :   1, Before :  2, After : 17
Num :  11, Time :   1, Before :  3, After : 19
Num :  98, Time :   2, Before : 10, After :  3
Num :  36, Time :   2, Before : 12, After : 17
Num :  95, Time :   2, Before : 12, After :  1
Num :  76, Time :   2, Before :  9, After :  8
Num :  48, Time :   2, Before :  7, After :  9
Num :  91, Time :   2, Before : 15, After : 14
Num :   9, Time :   2, Before : 17, After : 12
Num :  53, Time :   2, Before : 17, After :  2
Num :  26, Time :   2, Before :  2, After : 17
Num : 100, Time :   2, Before :  2, After : 18
Num :  52, Time :   3, Before : 12, After : 17
Num :  41, Time :   3, Before : 15, After : 11
Num :  35, Time :   3, Before : 17, After : 18
Num :  17, Time :   4, Before : 15, After : 11
Num :  91, Time :   5, Before : 14, After :  7
Num :  97, Time :   5, Before : 17, After : 12
Num :   1, Time :   5, Before :  2, After :  5
Num :   2, Time :   7, Before : 10, After :  5
Num :  61, Time :   7, Before :  9, After : 11
Num :  38, Time :   9, Before :  8, After :  9
Num :  12, Time :   9, Before : 13, After :  7
Num :  85, Time :   9, Before : 17, After :  5
Num :  46, Time :  10, Before :  6, After : 11
Num :  39, Time :  12, Before :  6, After :  2
Num :   2, Time :  12, Before :  5, After : 10
Num :  15, Time :  12, Before :  4, After : 16
Num :  48, Time :  12, Before :  9, After :  6
Num :  26, Time :  12, Before : 17, After :  2
Num :  96, Time :  14, Before : 17, After :  2
Num :  88, Time :  15, Before :  2, After :  1
Num :   3, Time :  16, Before : 15, After : 18
Num :  34, Time :  17, Before : 15, After : 13
Num :  98, Time :  17, Before :  3, After : 10
Num :  80, Time :  18, Before :  6, After :  5
Num :  47, Time :  19, Before : 16, After : 11
Num :  26, Time :  19, Before :  2, After : 17
Num :  13, Time :  21, Before :  6, After :  9
Num :   2, Time :  22, Before : 10, After :  5
Num :  11, Time :  22, Before : 19, After :  8
Num :  98, Time :  23, Before : 10, After :  3
Num :  97, Time :  24, Before : 12, After : 17
Num :  85, Time :  24, Before :  5, After : 17
Num :  86, Time :  25, Before :  8, After :  9
Num :   5, Time :  25, Before :  2, After : 18
Num :  48, Time :  30, Before :  6, After :  9
Num :   2, Time :  30, Before :  5, After : 10
Num :  20, Time :  31, Before : 12, After :  1
Num :   1, Time :  31, Before :  5, After :  2
Num :  90, Time :  33, Before : 19, After :  8
Num :  91, Time :  33, Before :  7, After : 14
Num :  41, Time :  34, Before : 11, After :  9
Num :  45, Time :  35, Before :  6, After :  5
Num :  57, Time :  38, Before :  3, After : 19
Num :  90, Time :  40, Before :  8, After : 19
Num :  95, Time :  41, Before :  1, After : 17
Num :  73, Time :  41, Before : 18, After :  3
Num :  38, Time :  42, Before :  9, After :  8
Num :   3, Time :  42, Before : 18, After : 15
Num :  64, Time :  43, Before :  2, After :  3
Num :  67, Time :  44, Before :  2, After : 17
Num :  94, Time :  45, Before : 17, After :  5
Num :   8, Time :  45, Before :  3, After : 18
Num :   9, Time :  46, Before : 12, After : 13
Num :  93, Time :  48, Before : 18, After :  3
Num :  18, Time :  50, Before : 16, After : 14
Num :  16, Time :  51, Before : 11, After :  7
Num :  69, Time :  51, Before :  8, After : 19
Num :  48, Time :  53, Before :  9, After :  7
Num :  41, Time :  54, Before :  9, After : 15
Num :  19, Time :  55, Before :  9, After :  6
Num :  61, Time :  56, Before : 11, After :  7
Num :  63, Time :  57, Before :  4, After : 16
Num :  58, Time :  57, Before : 12, After : 17
Num :  74, Time :  59, Before :  4, After : 16
Num :  54, Time :  60, Before : 10, After :  5
Num :  79, Time :  60, Before : 18, After : 15
Num :  39, Time :  60, Before :  2, After :  5
Num :  59, Time :  60, Before :  3, After : 18
Num :  98, Time :  60, Before :  3, After :  5
Num :  55, Time :  63, Before : 11, After :  9
Num :  47, Time :  63, Before : 11, After :  2
Num :  71, Time :  63, Before : 13, After : 14
Num :  49, Time :  64, Before : 11, After :  2
Num :  54, Time :  64, Before :  5, After : 10
Num :  53, Time :  65, Before :  2, After :  5
Num :  75, Time :  66, Before : 11, After :  9
Num :  46, Time :  66, Before : 11, After :  9
Num :  69, Time :  66, Before : 19, After :  8
Num :  21, Time :  66, Before :  1, After : 12
Num :  82, Time :  67, Before : 18, After :  7
Num :  84, Time :  67, Before :  2, After : 17
Num :  45, Time :  68, Before :  5, After :  6
Num :  65, Time :  69, Before :  7, After : 13
Num :  38, Time :  70, Before :  8, After :  9
Num :  79, Time :  72, Before : 15, After : 14
Num :  90, Time :  74, Before : 19, After :  8
Num :  49, Time :  75, Before :  2, After : 11
Num :  50, Time :  76, Before :  1, After : 12
Num :  20, Time :  76, Before :  1, After : 12
Num :  46, Time :  76, Before :  9, After : 11
Num :  57, Time :  76, Before : 19, After :  8
Num :   7, Time :  77, Before : 16, After :  1
Num :  44, Time :  78, Before : 13, After : 14
Num :  52, Time :  78, Before : 17, After :  1
Num :   9, Time :  79, Before : 13, After : 12
Num :  97, Time :  79, Before : 17, After : 16
Num :   3, Time :  82, Before : 15, After :  7
Num :  95, Time :  84, Before : 17, After :  2
Num :  21, Time :  84, Before : 12, After :  2
Num :  56, Time :  85, Before : 15, After :  7
Num :  85, Time :  86, Before : 17, After : 16
Num :  29, Time :  88, Before :  5, After :  4
Num :  56, Time :  90, Before :  7, After : 15
Num :  70, Time :  92, Before : 19, After :  8
Num :  28, Time :  93, Before :  4, After : 16
Num :  27, Time :  93, Before : 16, After :  4
Num :  46, Time :  98, Before : 11, After :  9
Num :  29, Time :  98, Before :  4, After : 16
Num :  86, Time :  99, Before :  9, After : 13
Num :   4, Time :  99, Before :  6, After :  5
Num :  20, Time : 100, Before : 12, After : 13
Num :  62, Time : 100, Before :  6, After : 16
Num :  92, Time : 102, Before : 14, After : 13
Num :  23, Time : 103, Before : 18, After :  3
Num :  94, Time : 103, Before :  5, After : 17
Num :  67, Time : 104, Before : 17, After :  2
Num :  99, Time : 105, Before :  5, After :  9
Num :  14, Time : 105, Before : 16, After :  9
Num :  59, Time : 106, Before : 18, After :  3
Num :  40, Time : 106, Before :  2, After :  1
Num :  52, Time : 107, Before :  1, After : 12
Num :  97, Time : 107, Before : 16, After : 17
Num :  77, Time : 108, Before : 11, After :  9
Num :  24, Time : 108, Before :  4, After :  1
Num :  20, Time : 108, Before : 13, After : 12
Num :  88, Time : 108, Before :  1, After :  2
Num :  17, Time : 109, Before : 11, After :  9
Num :  30, Time : 109, Before :  5, After : 15
Num :  86, Time : 110, Before : 13, After :  9
Num :  26, Time : 110, Before : 17, After : 12
Num :   4, Time : 111, Before :  5, After : 15
Num :  87, Time : 112, Before :  5, After :  9
Num :  96, Time : 112, Before :  2, After : 13
Num :  62, Time : 112, Before : 16, After :  6
Num :  39, Time : 113, Before :  5, After :  7
Num :  95, Time : 113, Before :  2, After : 17
Num :  98, Time : 114, Before :  5, After : 18
Num :  17, Time : 114, Before :  9, After : 11
Num :  31, Time : 115, Before :  5, After :  7
Num :  27, Time : 115, Before :  4, After : 16
Num :  80, Time : 116, Before :  5, After :  7
Num :  52, Time : 117, Before : 12, After : 13
Num :  53, Time : 117, Before :  5, After : 17
Num :  87, Time : 118, Before :  9, After :  2
Num :  41, Time : 119, Before : 15, After : 13
Num :   7, Time : 119, Before :  1, After :  4
Num :  13, Time : 120, Before :  9, After :  3
Num :  78, Time : 121, Before : 12, After :  3
Num :  99, Time : 121, Before :  9, After :  2
Num :  21, Time : 123, Before :  2, After :  7
Num :  85, Time : 123, Before : 16, After : 17
Num :  62, Time : 124, Before :  6, After : 15
Num :  68, Time : 124, Before :  3, After : 18
Num :  56, Time : 126, Before : 15, After : 18
Num :  29, Time : 126, Before : 16, After :  4
Num :  69, Time : 127, Before :  8, After : 19
Num :  38, Time : 128, Before :  9, After :  2
Num :  41, Time : 128, Before : 13, After : 15
Num :  67, Time : 129, Before :  2, After : 14
Num :  77, Time : 129, Before :  9, After : 11
Num :  46, Time : 130, Before :  9, After : 11
Num :  28, Time : 130, Before : 16, After :  4
Num :  90, Time : 132, Before :  8, After : 19
Num :  62, Time : 133, Before : 15, After :  6
Num :  77, Time : 134, Before : 11, After : 10
Num :   8, Time : 134, Before : 18, After : 19
Num :  57, Time : 134, Before :  8, After :  4
Num :  82, Time : 134, Before :  7, After : 19
Num :  46, Time : 135, Before : 11, After :  9
Num :  76, Time : 135, Before :  8, After : 13
Num :  65, Time : 135, Before : 13, After : 12
Num :  67, Time : 135, Before : 14, After :  2
Num :  17, Time : 136, Before : 11, After : 14
Num :  43, Time : 137, Before : 18, After : 14
Num :  69, Time : 137, Before : 19, After :  4
Num :  81, Time : 140, Before : 19, After :  8
Num :   7, Time : 140, Before :  4, After : 16
Num :  71, Time : 141, Before : 14, After : 13
Num :  58, Time : 141, Before : 17, After : 12
Num :  97, Time : 141, Before : 17, After : 12
Num :   3, Time : 142, Before :  7, After : 15
Num :  94, Time : 143, Before : 17, After :  2
Num :  17, Time : 143, Before : 14, After : 11
Num :  85, Time : 145, Before : 17, After : 16
Num :  80, Time : 145, Before :  7, After :  5
Num :  33, Time : 145, Before :  1, After :  2
Num :  31, Time : 146, Before :  7, After :  5
Num :  56, Time : 147, Before : 18, After : 15
Num :  90, Time : 147, Before : 19, After :  4
Num :  69, Time : 147, Before :  4, After : 19
Num :  55, Time : 147, Before :  9, After :  6
Num :  88, Time : 147, Before :  2, After :  1
Num :  38, Time : 148, Before :  2, After :  9
Num :  65, Time : 149, Before : 12, After :  3
